,Year_Month,HMV,LMV,MSL
470,Feb-99,130,-16,56.1
471,Mar-99,157,-10,65.5
472,Apr-99,141,-16,68.5
473,May-99,149,-4,68
474,Jun-99,148,8,74
475,Jul-99,158,24,81
476,Aug-99,161,20,86
477,Sep-99,165,12,84.6
478,Oct-99,159,6,81.5
479,Nov-99,152,2,74
480,Dec-99,139,-7,62
481,Jan-00,135,-11,64.7
482,Feb-00,141,2,63.1
483,Mar-00,137,-6,65.4
484,Apr-00,132,-11,64.4
485,May-00,139,-3,69
486,Jun-00,144,0,72.6
487,Jul-00,163,8,76.4
488,Aug-00,156,11,78.7
489,Sep-00,168,11,87.3
490,Oct-00,133,-6,69.7
491,Nov-00,132,-4,65.3
492,Dec-00,130,-12,64.4
493,Jan-01,143,2,68.5
494,Feb-01,137,-19,58.4
495,Mar-01,138,-20,64.6
496,Apr-01,135,-15,62
497,May-01,145,1,68.9
498,Jun-01,146,10,74.8
499,Jul-01,142,8,73.6
500,Aug-01,169,25,83.6
501,Sep-01,160,10,87.3
502,Oct-01,156,6,80.9
503,Nov-01,134,-6,64.6
504,Dec-01,130,-4,59.5
505,Jan-02,135,-15,61.2
506,Feb-02,138,-19,58.6
507,Mar-02,145,-24,57.7
508,Apr-02,147,-17,63.5
509,May-02,140,12,73.7
510,Jun-02,147,26,77.7
511,Jul-02,151,29,86.2
512,Aug-02,161,20,85.9
513,Sep-02,165,20,86
514,Oct-02,147,-7,74.9
515,Nov-02,139,-4,66.2
516,Dec-02,143,9,66.3
517,Jan-03,127,5,61.3
518,Feb-03,142,-13,64.4
519,Mar-03,143,-17,62.6
520,Apr-03,139,-33,62.3
521,May-03,146,-5,71.9
522,Jun-03,152,21,79.6
523,Jul-03,151,23,77.9
524,Aug-03,147,13,81.5
525,Sep-03,211,17,81.4
526,Oct-03,144,1,78.1
527,Nov-03,136,-2,72.6
528,Dec-03,130,-5,62.9
529,Jan-04,135,2,62.1
530,Feb-04,131,-12,57.5
531,Mar-04,126,-23,58.9
532,Apr-04,137,-18,64.8
533,May-04,145,1,73.6
534,Jun-04,140,2,73.3
535,Jul-04,156,26,81.4
536,Aug-04,169,24,90.1
537,Sep-04,153,5,83
538,Oct-04,136,-8,74
539,Nov-04,135,-12,64.3
540,Dec-04,131,-8,66.3
541,Jan-05,130,-6,63.9
542,Feb-05,137,-14,62.5
543,Mar-05,137,-16,56.8
544,Apr-05,131,-9,61.4
545,May-05,139,6,68.8
546,Jun-05,139,15,73.3
547,Jul-05,139,7,75.2
548,Aug-05,168,17,80.1
549,Sep-05,157,-4,80.5
550,Oct-05,133,-1,69.1
551,Nov-05,137,2,69.8
552,Dec-05,130,4,64.5
553,Jan-06,136,-7,66.1
554,Feb-06,132,-35,58
555,Mar-06,142,-29,59.1
556,Apr-06,136,-2,69.4
557,May-06,139,10,70.1
558,Jun-06,139,23,76.1
559,Jul-06,138,22,78.6
560,Aug-06,149,13,83.5
561,Sep-06,155,2,82.5
562,Oct-06,162,11,77.9
563,Nov-06,149,0,68
564,Dec-06,124,0,64.2
565,Jan-07,126,-4,61.4
566,Feb-07,134,-14,58
567,Mar-07,136,-17,68.6
568,Apr-07,139,-6,66.5
569,May-07,155,11,73.2
570,Jun-07,141,20,71.7
571,Jul-07,147,14,79.8
572,Aug-07,157,16,79.9
573,Sep-07,149,0,87.5
574,Oct-07,143,-6,68.9
575,Nov-07,132,0,67.8
576,Dec-07,134,9,68
577,Jan-08,129,2,63
578,Feb-08,127,-8,58.5
579,Mar-08,135,-22,62.7
580,Apr-08,141,-9,67.7
581,May-08,142,5,74.8
582,Jun-08,151,18,78.9
583,Jul-08,142,18,77.3
584,Aug-08,150,12,82.9
585,Sep-08,156,7,76.9
586,Oct-08,136,3,72.1
587,Nov-08,142,8,66.1
588,Dec-08,134,7,62.9
589,Jan-09,137,-7,61.4
590,Feb-09,143,-3,65.6
591,Mar-09,132,-13,60.4
592,Apr-09,140,-7,66.5
593,May-09,137,15,70.6
594,Jun-09,148,15,77.7
595,Jul-09,157,17,80.1
596,Aug-09,156,16,85.7
597,Sep-09,152,16,87.4
598,Oct-09,141,10,73.9
599,Nov-09,135,-9,70.3
600,Dec-09,146,23,77.8
601,Jan-10,147,0,66.3
602,Feb-10,150,-3,70.5
603,Mar-10,160,-14,65.7
604,Apr-10,139,4,69.4
605,May-10,138,14,76
606,Jun-10,141,23,75
607,Jul-10,159,23,82.9
608,Aug-10,166,12,79.7
609,Sep-10,171,13,82.5
610,Oct-10,148,3,78.9
611,Nov-10,142,12,76.1
612,Dec-10,134,4,72.3
613,Jan-11,139,0,67
614,Feb-11,139,-8,67.4
615,Mar-11,140,-11,62
616,Apr-11,141,3,67
617,May-11,131,10,73.5
618,Jun-11,135,23,77.2
619,Jul-11,150,20,80.6
620,Aug-11,152,15,83.3
621,Sep-11,152,12,90.5
622,Oct-11,145,-3,76.3
623,Nov-11,132,-3,72
624,Dec-11,129,-2,67.4
625,Jan-12,131,1,68
626,Feb-12,135,-17,62.8
627,Mar-12,145,-10,67.1
628,Apr-12,131,-24,63
629,May-12,154,9,71.6
630,Jun-12,149,10,79.9
631,Jul-12,150,18,84.9
632,Aug-12,154,16,90.6
633,Sep-12,184,18,87.9
634,Oct-12,155,11,82.4
635,Nov-12,154,3,75.7
636,Dec-12,148,-9,63.3
637,Jan-13,139,-12,60.5
638,Feb-13,133,-11,58.4
639,Mar-13,142,-13,62.1
640,Apr-13,149,-7,69
641,May-13,149,4,75.7
642,Jun-13,151,15,76.8
643,Jul-13,149,8,75.2
644,Aug-13,151,12,77.7
645,Sep-13,138,1,75.6
646,Oct-13,156,8,80
647,Nov-13,140,6,65
648,Dec-13,130,-5,63.1
649,Jan-14,144,-5,59
650,Feb-14,145,-8,65.3
651,Mar-14,145,-10,67.7
652,Apr-14,145,0,70.5
653,May-14,151,17,75.1
654,Jun-14,153,20,81.9
655,Jul-14,153,8,77.9
656,Aug-14,170,18,87.3
657,Sep-14,161,14,84.5
658,Oct-14,155,13,85.2
659,Nov-14,147,7,70.9
660,Dec-14,128,-11,65.5
661,Jan-15,146,-7,67
662,Feb-15,143,-18,64.3
663,Mar-15,144,-13,60.4
664,Apr-15,153,-7,65.2
665,May-15,146,10,73.1
666,Jun-15,141,18,77.2
667,Jul-15,147,13,82.2
668,Aug-15,162,11,89.8
669,Sep-15,158,2,88.2
670,Oct-15,156,4,74.3
671,Nov-15,158,14,76.8
672,Dec-15,139,8,71.1
673,Jan-16,133,-3,68.5
674,Feb-16,140,-13,61.9
675,Mar-16,141,-18,66.8
676,Apr-16,153,-3,76.2
677,May-16,151,2,75.2
678,Jun-16,157,19,80.9
679,Jul-16,143,11,79.5
680,Aug-16,164,18,88.3
681,Sep-16,174,22,96.1
682,Oct-16,170,4,82.1
683,Nov-16,159,10,79.3
684,Dec-16,154,3,72.8
685,Jan-17,144,0,69.5
686,Feb-17,138,-8,69.4
687,Mar-17,148,-6,70.5
688,Apr-17,151,-2,71.9
689,May-17,149,4,68.8
690,Jun-17,162,24,79.5
691,Jul-17,158,23,82.3
692,Aug-17,161,14,88.9
693,Sep-17,150,21,86
694,Oct-17,149,10,81.1
695,Nov-17,149,-1,66.8
696,Dec-17,132,-11,59.6
697,Jan-18,137,-7,63.2
698,Feb-18,138,-10,58.5
699,Mar-18,145,-17,59.5
700,Apr-18,132,-12,64.3
701,May-18,155,10,75.2
702,Jun-18,155,15,76.9
703,Jul-18,151,13,81.6
704,Aug-18,169,23,89.8
705,Sep-18,148,5,83.7
706,Oct-18,155,10,77.2
707,Nov-18,141,2,69.3
708,Dec-18,146,7,71.9
709,Jan-19,150,4,71.8
710,Feb-19,146,-15,65.8
711,Mar-19,165,-3,70.7
712,Apr-19,143,-2,71.1
713,May-19,139,11,75
714,Jun-19,142,16,80.9
715,Jul-19,153,26,84.9
716,Aug-19,164,10,88.7
717,Sep-19,153,0,84.7
718,Oct-19,148,8,85.1
719,Nov-19,140,1,71.5
720,Dec-19,134,6,67.5
721,Jan-20,151,6,73.6
722,Feb-20,151,-2,70.4
723,Mar-20,160,-10,67.9
724,Apr-20,147,-9,68.7
725,May-20,141,-6,77
726,Jun-20,153,26,86.8
727,Jul-20,163,24,85.4
728,Aug-20,149,12,81.8
729,Sep-20,184,7,92
730,Oct-20,147,2,83.9
731,Nov-20,135,-9,68.8
732,Dec-20,132,0,68.8
733,Jan-21,141,9,70
734,Feb-21,136,-9,69.8
735,Mar-21,151,-3,67.4
736,Apr-21,150,-7,69.3
737,May-21,150,11,77.3
738,Jun-21,149,24,82.1
739,Jul-21,157,31,88.1
740,Aug-21,171,27,96.9
741,Sep-21,153,19,90.1
742,Oct-21,153,16,83.8
743,Nov-21,148,8,70.3
744,Dec-21,135,2,65.2
745,Jan-22,136,4,71.4
746,Feb-22,137,1,69.2
747,Mar-22,145,-3,71.8
748,Apr-22,134,-11,66.2
749,May-22,143,6,76.1
750,Jun-22,155,27,83.9
751,Jul-22,164,32,88.4
752,Aug-22,153,17,83.1
753,Sep-22,184,17,91.8
754,Oct-22,147,4,76.9
755,Nov-22,144,8,75.1
756,Dec-22,137,7,61.8
757,Jan-23,145,-3,70.5
758,Feb-23,142,-19,68
759,Mar-23,145,-4,64.3
760,Apr-23,137,1,69.6
761,May-23,153,9,76.8
762,Jun-23,143,24,83.8
763,Jul-23,149,28,82.7
764,Aug-23,166,21,98.7
765,Sep-23,160,14,95.5
766,Oct-23,148,5,79.8
767,Nov-23,128,-2,68.6
768,Dec-23,136,12,65.3
769,Jan-24,139,1,69.3
770,Feb-24,141,-18,69.3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
